DATA,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,4.0,4.0,4.0,7.0,300.0,77.0,-0.7
2013-03-01,8.0,8.0,4.0,7.0,300.0,77.0,-1.1
2013-03-01,7.0,7.0,5.0,10.0,300.0,73.0,-1.1
2013-03-01,6.0,6.0,11.0,11.0,300.0,72.0,-1.4
2013-03-01,3.0,3.0,12.0,12.0,300.0,72.0,-2.0
2013-03-01,5.0,5.0,18.0,18.0,400.0,66.0,-2.2
2013-03-01,3.0,3.0,18.0,32.0,500.0,50.0,-2.6
2013-03-01,3.0,6.0,19.0,41.0,500.0,43.0,-1.6
2013-03-01,3.0,6.0,16.0,43.0,500.0,45.0,0.1
2013-03-01,3.0,8.0,12.0,28.0,400.0,59.0,1.2
2013-03-01,3.0,6.0,9.0,12.0,400.0,72.0,1.9
2013-03-01,3.0,6.0,9.0,14.0,400.0,71.0,2.9
2013-03-01,3.0,6.0,7.0,13.0,300.0,74.0,3.9
2013-03-01,3.0,6.0,7.0,12.0,400.0,76.0,5.3
2013-03-01,6.0,9.0,7.0,11.0,400.0,77.0,6.0
2013-03-01,8.0,15.0,7.0,14.0,400.0,76.0,6.2
2013-03-01,9.0,19.0,9.0,13.0,400.0,76.0,5.9
2013-03-01,10.0,23.0,11.0,15.0,400.0,74.0,4.3
2013-03-01,11.0,20.0,8.0,20.0,500.0,70.0,3.1
2013-03-01,8.0,14.0,12.0,30.0,500.0,60.0,2.3
2013-03-01,11.0,17.0,13.0,33.0,600.0,55.0,1.7
2013-03-01,12.0,18.0,16.0,35.0,500.0,50.0,0.6
2013-03-01,15.0,19.0,21.0,57.0,700.0,32.0,0.9
2013-03-01,24.0,24.0,26.0,54.0,600.0,36.0,-0.2
2013-03-02,22.0,24.0,24.0,44.0,500.0,44.0,-0.4
2013-03-02,14.0,17.0,21.0,36.0,400.0,50.0,-1.0
2013-03-02,13.0,13.0,20.0,37.0,400.0,47.0,-1.5
2013-03-02,3.0,9.0,13.0,34.0,400.0,52.0,-1.4
2013-03-02,3.0,7.0,18.0,43.0,400.0,43.0,-1.5
2013-03-02,9.0,11.0,19.0,70.0,500.0,20.0,-1.8
2013-03-02,4.0,10.0,28.0,46.0,500.0,39.0,-2.5
2013-03-02,3.0,11.0,34.0,58.0,500.0,27.0,-1.7
2013-03-02,3.0,7.0,21.0,49.0,500.0,43.0,-0.4
2013-03-02,10.0,14.0,47.0,62.0,700.0,29.0,0.6
2013-03-02,11.0,19.0,36.0,60.0,600.0,34.0,1.7
2013-03-02,18.0,29.0,36.0,70.0,800.0,27.0,2.2
2013-03-02,26.0,30.0,25.0,76.0,900.0,22.0,2.7
2013-03-02,25.0,33.0,20.0,57.0,700.0,39.0,3.3
2013-03-02,26.0,35.0,22.0,54.0,700.0,43.0,3.8
2013-03-02,37.0,40.0,24.0,55.0,700.0,44.0,3.9
2013-03-02,37.0,46.0,29.0,63.0,1000.0,38.0,3.5
2013-03-02,44.0,58.0,45.0,77.0,1200.0,30.0,2.2
2013-03-02,54.0,79.0,50.0,80.0,1100.0,24.0,1.2
2013-03-02,61.0,86.0,50.0,97.0,1300.0,10.0,1.5
2013-03-02,67.0,96.0,54.0,108.0,1399.0,2.0,1.2
2013-03-02,74.0,103.0,72.0,107.0,1399.0,2.0,0.6
2013-03-02,81.0,113.0,84.0,110.0,1500.0,3.0,-0.6
2013-03-02,93.0,120.0,87.0,107.0,1700.0,2.0,-0.8
2013-03-03,112.0,130.0,73.0,100.0,1899.0,2.0,-1.4
2013-03-03,109.0,132.0,80.0,101.0,2200.0,2.0,-2.0
2013-03-03,110.0,132.0,98.0,99.0,2399.0,2.0,-2.8
2013-03-03,105.0,129.0,88.0,100.0,2500.0,2.0,-2.6
2013-03-03,106.0,136.0,79.0,92.0,2799.0,2.0,-4.3
2013-03-03,101.0,135.0,64.0,87.0,2399.0,2.0,-5.6
2013-03-03,91.0,142.0,67.0,87.0,2100.0,2.0,-5.8
2013-03-03,79.0,116.0,83.0,91.0,2000.0,2.0,-3.1
2013-03-03,77.0,110.0,123.0,90.0,2299.0,2.0,0.7
2013-03-03,83.0,119.0,135.0,90.0,2600.0,3.0,3.5
2013-03-03,94.0,122.0,116.0,90.0,1800.0,9.0,6.5
2013-03-03,96.0,117.0,89.0,93.0,1600.0,14.0,11.4
2013-03-03,91.0,108.0,77.0,99.0,1600.0,14.0,13.8
2013-03-03,98.0,134.0,50.0,81.0,1200.0,33.0,16.0
2013-03-03,72.0,106.0,31.0,57.0,900.0,51.0,16.7
2013-03-03,48.0,114.0,14.0,17.0,500.0,77.0,16.9
2013-03-03,28.0,100.0,12.0,17.0,400.0,77.0,16.4
2013-03-03,26.0,103.0,9.0,19.0,400.0,73.0,13.1
2013-03-03,24.0,82.0,8.0,27.0,500.0,66.0,8.7
2013-03-03,19.0,71.0,26.0,98.0,1300.0,11.0,12.2
2013-03-03,60.0,175.0,64.0,135.0,2000.0,4.0,11.7
2013-03-03,117.0,181.0,28.0,100.0,1100.0,5.0,5.3
2013-03-03,54.0,105.0,28.0,90.0,1200.0,2.0,3.1
2013-03-03,46.0,94.0,29.0,84.0,1200.0,2.0,5.2
2013-03-04,42.0,83.0,51.0,86.0,1300.0,4.0,7.7
2013-03-04,49.0,80.0,39.0,64.0,1000.0,25.0,8.2
2013-03-04,34.0,62.0,22.5,14.0,300.0,68.0,8.1
2013-03-04,12.0,34.0,6.0,12.0,350.0,77.0,7.2
2013-03-04,7.0,18.0,14.0,28.5,400.0,42.0,6.0
2013-03-04,10.0,24.0,18.0,45.0,400.0,40.0,2.7
2013-03-04,13.0,32.0,24.0,65.0,500.0,22.0,3.8
2013-03-04,14.0,36.0,30.0,70.0,600.0,17.0,6.5
2013-03-04,13.0,35.0,38.0,70.0,700.0,21.0,9.0
2013-03-04,15.0,32.0,26.0,36.0,500.0,52.0,10.6
2013-03-04,16.0,24.0,22.0,36.0,600.0,57.0,11.9
2013-03-04,18.0,33.0,18.0,27.0,400.0,68.0,13.1
2013-03-04,13.0,28.0,12.0,14.0,400.0,77.0,14.2
2013-03-04,3.0,12.0,7.0,12.0,300.0,82.0,15.3
2013-03-04,3.0,10.0,8.0,13.0,400.0,84.0,15.2
2013-03-04,10.0,13.0,9.0,15.0,400.0,84.0,15.3
2013-03-04,14.0,20.0,10.0,34.0,500.0,70.0,14.5
2013-03-04,20.0,33.0,14.0,40.0,500.0,78.0,12.7
2013-03-04,25.0,44.0,13.0,43.0,600.0,75.0,11.6
2013-03-04,31.0,63.0,17.0,61.0,700.0,53.0,10.9
2013-03-04,34.0,84.0,18.0,76.0,800.0,40.0,9.9
