Data,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2020-03-01,7.0,11.0,12.0,23.0,429.0,64.0,1.0
2020-03-02,31.0,42.0,37.0,67.0,825.0,30.0,1.0
2020-03-03,77.0,121.0,61.0,81.0,1621.0,19.0,6.0
2020-03-04,23.0,45.0,23.0,46.0,606.0,54.0,10.0
2020-03-05,149.0,184.0,94.0,133.0,2358.0,68.0,6.0
2020-03-06,223.0,265.0,116.0,142.0,3085.0,20.0,7.0
2020-03-07,263.0,316.0,98.0,148.0,3633.0,39.0,9.0
2020-03-08,221.0,298.0,69.0,120.0,2689.0,79.0,10.0
2020-03-09,62.0,228.0,33.0,45.0,1179.0,74.0,7.0
2020-03-10,34.0,69.0,23.0,50.0,708.0,83.0,5.0
2020-03-11,124.0,178.0,87.0,91.0,1671.0,75.0,6.0
2020-03-12,123.0,117.0,28.0,73.0,1635.0,37.0,5.0
2020-03-13,16.0,19.0,16.0,36.0,504.0,72.0,5.0
2020-03-14,95.0,107.0,52.0,70.0,1337.0,69.0,4.0
2020-03-15,212.0,251.0,76.0,99.0,2116.0,44.0,6.0
2020-03-16,245.0,258.0,70.0,90.0,2175.0,67.0,10.0
2020-03-17,285.0,310.0,74.0,114.0,2558.0,97.0,10.0
2020-03-18,71.0,118.0,20.0,46.0,867.0,89.0,8.0
2020-03-19,41.0,49.0,16.0,49.0,785.0,20.0,2.0
2020-03-20,49.0,48.0,12.0,42.0,921.0,32.0,2.0
2020-03-21,149.0,162.0,22.0,86.0,1454.0,12.0,4.0
2020-03-22,90.0,145.0,26.0,70.0,979.0,34.0,6.0
2020-03-23,53.0,89.0,30.0,58.0,1312.0,28.0,5.0
2020-03-24,19.0,38.0,12.0,36.0,1300.0,54.0,5.0
2020-03-25,102.0,143.0,52.0,87.0,1267.0,28.0,5.0
2020-03-26,187.0,251.0,75.0,106.0,1741.0,12.0,7.0
2020-03-27,92.0,123.0,24.0,43.0,850.0,42.0,11.0
2020-03-28,28.0,55.0,13.0,40.0,596.0,58.0,8.0
2020-03-29,88.0,140.0,47.0,88.0,1608.0,17.0,6.0
2020-03-30,80.0,111.0,62.0,68.0,1666.0,34.0,6.0
2020-03-31,174.0,194.0,15.0,73.0,1333.0,3.0,6.0
2020-04-01,95.0,113.0,17.0,39.0,1208.0,51.0,10.0
2020-04-02,100.0,141.0,40.0,69.0,1317.0,53.0,10.0
2020-04-03,124.0,205.0,51.0,88.0,1454.0,46.0,12.0
2020-04-04,67.0,111.0,62.0,85.0,2270.0,19.0,8.0
2020-04-05,55.0,50.0,12.0,41.0,1179.0,37.0,9.0
2020-04-06,11.0,23.0,8.0,27.0,458.0,59.0,9.0
2020-04-07,79.0,127.0,42.0,72.0,1254.0,33.0,9.0
2020-04-08,26.0,124.0,8.0,21.0,450.0,68.0,9.0
